id,vid,navn,vlbnr,ejerstatus
14,1138,Enghave å,169032,Offentligt
3,1431,Soderup Renden,169082,Offentligt
13,1474,Hove å,169085,Offentligt
15,1111,Vadsby å,169031,Offentligt
6,1434,Spang å,16915C,Offentligt
10,1435,Sengeløse å,16915a1,Offentligt
9,1436,Sideløb Sengeløse å,16915a2,Offentligt
11,1437,Hakkemosegrøften,16915b,Offentligt
4,1438,Skovkildevandløbet,169082,Offentligt
7,1439,Nybølle å,169016,Offentligt
8,1440,Store Vejle å,169010,Offentligt
1,1441,Lille Vejle å,169052,Offentligt
5,1429,Marbjerg Bæk,169094,Offentligt
2,1430,Maglemose å,169005,Offentligt
